holdout_group,asset,world,source_file,scale,block_index,start_tick,end_tick,base_sequence,candidate_score,pre_raw_class,during_raw_class,post_raw_class,pre_move_pct,during_move_pct,post_move_pct,pre_range,during_range,post_range,pre_hoeren,during_hoeren,post_hoeren,pre_sicht,during_sicht,post_sicht,pre_druck,during_druck,post_druck,range_narrows_vs_pre,hearing_rises_vs_pre,pressure_rises_vs_pre,passive_only,influences_action
HOLDOUT2,BTC,BTC_2024_5M,data\kontrolliert_btc_2024_5m_10k_BTCUSDT.csv,100,58,5800,5900,normale_weltspannung->lauter_feldkontakt,0.459802,gemischte_rohwelt,laute_oder_druckvolle_rohwelt,gemischte_rohwelt,0.274527,0.08533,-0.087652,0.075637,0.043024,0.075657,0.453687,0.609422,0.460735,0.676145,0.693903,0.682531,0.113814,0.145789,0.114815,1,1,1,1,0
CONTRAST,DOGE,DOGE_2024_5M_CONTRAST,data\kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,100,96,9600,9700,ruhig_zentrumsnah->lauter_feldkontakt,0.446154,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,-0.340694,0.253197,-0.732416,0.089584,0.093699,0.097535,0.438809,0.482978,0.465979,0.698213,0.712638,0.6972,0.108772,0.119291,0.115878,0,1,1,1,0
HOLDOUT1,DOGE,DOGE_2024_5M,data\kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,100,96,9600,9700,ruhig_zentrumsnah->lauter_feldkontakt,0.446154,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,-0.340694,0.253197,-0.732416,0.089584,0.093699,0.097535,0.438809,0.482978,0.465979,0.698213,0.712638,0.6972,0.108772,0.119291,0.115878,0,1,1,1,0
HOLDOUT2,BTC,BTC_2024_5M,data\kontrolliert_btc_2024_5m_10k_BTCUSDT.csv,100,96,9600,9700,lauter_feldkontakt->lauter_feldkontakt,0.438516,laute_oder_druckvolle_rohwelt,laute_oder_druckvolle_rohwelt,laute_oder_druckvolle_rohwelt,-0.241789,0.292546,-0.424628,0.063027,0.058343,0.067147,0.521503,0.60707,0.549736,0.68719,0.689394,0.689186,0.126459,0.146683,0.134037,1,1,1,1,0
HOLDOUT2,BTC,BTC_2024_5M,data\kontrolliert_btc_2024_5m_10k_BTCUSDT.csv,100,98,9800,9900,lauter_feldkontakt->lauter_feldkontakt,0.436326,laute_oder_druckvolle_rohwelt,laute_oder_druckvolle_rohwelt,laute_oder_druckvolle_rohwelt,-0.424628,-0.466094,0.182894,0.067147,0.049782,0.073628,0.549736,0.596644,0.512588,0.689186,0.690352,0.694178,0.134037,0.1454,0.125275,1,1,1,1,0
CONTRAST,DOGE,DOGE_2024_5M_CONTRAST,data\kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,200,48,9600,9800,ruhig_zentrumsnah->lauter_feldkontakt,0.42631,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,-0.340694,-0.481074,-0.101781,0.089584,0.095617,0.097525,0.438809,0.474478,0.45086,0.698213,0.704919,0.690078,0.108772,0.117584,0.113875,0,1,1,1,0
HOLDOUT1,DOGE,DOGE_2024_5M,data\kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,200,48,9600,9800,ruhig_zentrumsnah->lauter_feldkontakt,0.42631,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,-0.340694,-0.481074,-0.101781,0.089584,0.095617,0.097525,0.438809,0.474478,0.45086,0.698213,0.704919,0.690078,0.108772,0.117584,0.113875,0,1,1,1,0
CONTRAST,XRP,XRP_2024_5M_CONTRAST,data\kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,100,78,7800,7900,ruhig_zentrumsnah->lauter_feldkontakt,0.409247,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,0.3213,0.357883,-1.013514,0.091274,0.100905,0.127401,0.372604,0.47363,0.418974,0.714013,0.692707,0.690329,0.095372,0.118298,0.106775,0,1,1,1,0
HOLDOUT2,BTC,BTC_2024_5M,data\kontrolliert_btc_2024_5m_10k_BTCUSDT.csv,200,48,9600,9800,lauter_feldkontakt->lauter_feldkontakt,0.39902,laute_oder_druckvolle_rohwelt,laute_oder_druckvolle_rohwelt,laute_oder_druckvolle_rohwelt,-0.241789,-0.133324,-0.466094,0.063027,0.062745,0.049782,0.521503,0.578403,0.596644,0.68719,0.68929,0.690352,0.126459,0.14036,0.1454,1,1,1,1,0
CONTRAST,XRP,XRP_2024_5M_CONTRAST,data\kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,100,55,5500,5600,lauter_feldkontakt->lauter_feldkontakt,0.345891,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,1.174497,1.142436,-0.41902,0.199552,0.152257,0.155877,0.460506,0.46924,0.440065,0.658603,0.68716,0.646143,0.115887,0.116231,0.111524,1,1,1,1,0
