source_year,asset,label,family,total_count,phase_presence,dominant_role,count_frueh,share_frueh,rekopplung_frueh,strain_frueh,afterimage_frueh,temporal_frueh,count_mitte,share_mitte,rekopplung_mitte,strain_mitte,afterimage_mitte,temporal_mitte,count_spaet,share_spaet,rekopplung_spaet,strain_spaet,afterimage_spaet,temporal_spaet,share_delta_spaet_frueh,afterimage_delta_spaet_frueh,temporal_delta_spaet_frueh,strain_delta_spaet_frueh,family_reading,families,kernfamilien,brueckenfamilien,oberflaechen,source_family_overlap,source_kern_overlap,avg_afterimage_delta,avg_temporal_delta,dominant_reading,reproduction_state
2025,BTC,2025_17k,dio_104t,1164,3,field_stabil,379,0.06690203000882612,0.7556139050131927,0.16184132981530344,0.7972580527704485,0.9290234828496042,375,0.06619593998234775,0.7558403279999999,0.164029096,0.8396534186666667,0.94972216,410,0.07238700564971752,0.7565741268292684,0.1624967024390244,0.8299963024390243,0.9479753317073171,0.0054849756408913986,0.03273824966857586,0.01895184885771284,0.0006553726237209512,anschlussfaehige_oberflaeche,,,,,,,,,,
2025,BTC,2025_17k,dio_155c,795,3,field_stabil,302,0.053309796999117386,0.7502064867549669,0.1707685927152318,0.7974898013245033,0.9254564437086092,251,0.044307149161518095,0.7506643466135459,0.17380396812749002,0.8492553944223108,0.9505494183266933,242,0.042725988700564974,0.752291561983471,0.17173406611570247,0.8485097768595042,0.9506731487603306,-0.010583808298552412,0.05101997553500093,0.025216705051721355,0.0009654734004706789,anschlussfaehige_oberflaeche,,,,,,,,,,
2025,BTC,2025_17k,dio_0l7p,684,3,field_stabil,226,0.03989408649602824,0.7630489115044248,0.1511824778761062,0.7992493008849558,0.9247254513274337,220,0.038834951456310676,0.7641083863636364,0.15327515000000003,0.8553283409090909,0.9538837227272727,238,0.042019774011299436,0.764654705882353,0.1525953529411765,0.8491596554621849,0.9534232731092437,0.002125687515271195,0.04991035457722903,0.028697821781810018,0.0014128750650702904,anschlussfaehige_oberflaeche,,,,,,,,,,
2025,BTC,2025_17k,dio_0m9z,652,3,field_stabil,220,0.038834951456310676,0.7426555954545454,0.17968276363636365,0.8014526136363636,0.921831590909091,228,0.04024713150926743,0.743348802631579,0.1819765,0.8518313333333334,0.9493144736842105,204,0.036016949152542374,0.74396525,0.18135961764705882,0.8543461078431372,0.9512704558823529,-0.002818002303768302,0.052893494206773695,0.02943886497326198,0.0016768540106951724,anschlussfaehige_oberflaeche,,,,,,,,,,
2025,BTC,2025_17k,dio_0h9h,485,3,field_stabil,163,0.028773168578993823,0.7594473680981596,0.15666628220858897,0.8036466257668713,0.9192528036809816,169,0.029832303618711385,0.7615079940828402,0.1584051775147929,0.8704022899408284,0.9548888639053255,153,0.02701271186440678,0.7621298758169934,0.1581086797385621,0.8726846470588234,0.9570461960784313,-0.0017604567145870428,0.06903802129195213,0.03779339239744972,0.0014423975299731329,anschlussfaehige_oberflaeche,,,,,,,,,,
2025,BTC,2025_17k,dio_14wj,370,3,field_stabil,116,0.020476610767872903,0.7666960517241379,0.1441736896551724,0.7867441551724138,0.9091520431034482,125,0.02206531332744925,0.7695181360000001,0.146746624,0.8755137439999999,0.95637856,129,0.022775423728813558,0.7706854263565891,0.1456916046511628,0.8741369689922481,0.9585087906976744,0.002298812960940654,0.08739281381983433,0.04935674759422615,0.0015179149959903826,anschlussfaehige_oberflaeche,,,,,,,,,,
2025,BTC,2025_17k,dio_00ly,293,3,field_stabil,97,0.01712268314210062,0.758217731958763,0.15652736082474228,0.7720676597938144,0.9003924536082474,98,0.01729920564872021,0.7625348673469388,0.1586684693877551,0.8838172551020408,0.9562180918367347,98,0.01730225988700565,0.7634405000000001,0.15825714285714285,0.8913880000000001,0.9601499591836734,0.00017957674490503076,0.11932034020618565,0.05975750557542603,0.0017297820324005675,anschlussfaehige_oberflaeche,,,,,,,,,,
2025,BTC,2025_17k,dio_1lsu,274,3,field_stabil,91,0.016063548102383054,0.7472972527472528,0.16969203296703295,0.766143,0.895564956043956,72,0.012709620476610768,0.7497292361111111,0.17632418055555557,0.8920700694444444,0.9539516805555556,111,0.019597457627118644,0.7521123243243243,0.17296896396396397,0.8690139819819821,0.9528851441441442,0.00353390952473559,0.10287098198198208,0.05732018810018813,0.003276930996931021,anschlussfaehige_oberflaeche,,,,,,,,,,
2025,BTC,2025_17k,dio_0oc3,274,3,field_stabil,95,0.01676963812886143,0.7330457263157895,0.1895541368421053,0.7732087789473685,0.9008158210526315,87,0.015357458075904678,0.7372135517241379,0.19229806896551727,0.879015356321839,0.9550894712643677,92,0.016242937853107344,0.7383118913043478,0.19141235869565215,0.8789784130434783,0.9584562608695653,-0.0005267002757540842,0.10576963409610984,0.057640439816933786,0.0018582218535468653,anschlussfaehige_oberflaeche,,,,,,,,,,
2025,BTC,2025_17k,dio_17ct,257,3,field_stabil,98,0.01729920564872021,0.7546554999999999,0.16683376530612246,0.7846695816326531,0.9019481734693878,85,0.01500441306266549,0.7567300470588234,0.17121256470588234,0.8894069764705882,0.9546048823529412,74,0.013064971751412429,0.7572415135135134,0.17054185135135133,0.9015458243243244,0.9608053513513515,-0.004234233897307782,0.1168762426916713,0.05885717788196365,0.0037080860452288755,anschlussfaehige_oberflaeche,,,,,,,,,,
2025,BTC,2025_17k,dio_0pz6,249,3,field_stabil,82,0.014474845542806708,0.7648367804878049,0.15142696341463416,0.7763913780487806,0.8976464999999999,85,0.01500441306266549,0.766483105882353,0.15544545882352942,0.8924344000000001,0.9565810470588235,82,0.014477401129943503,0.7693536707317074,0.15344568292682928,0.8890936829268292,0.9592623536585366,2.555587136795351e-06,0.11270230487804866,0.06161585365853672,0.002018719512195122,anschlussfaehige_oberflaeche,,,,,,,,,,
2025,BTC,2025_17k,dio_0obq,222,3,field_stabil,75,0.01323918799646955,0.7430737199999999,0.17687160000000002,0.7682153733333333,0.8920666133333333,71,0.012533097969991174,0.7455030845070423,0.18139273239436618,0.900036971830986,0.9574349577464788,76,0.013418079096045197,0.7466935921052632,0.18049618421052632,0.8859348552631578,0.9581558289473685,0.0001788910995756468,0.11771948192982451,0.06608921561403525,0.003624584210526305,anschlussfaehige_oberflaeche,,,,,,,,,,
2025,BTC,2025_17k,dio_00ja,221,3,field_stabil,62,0.010944395410414828,0.7328982580645161,0.18149754838709678,0.7429920645161291,0.8798504838709678,92,0.01624007060900265,0.7360928804347826,0.18519069565217391,0.8757430434782608,0.9501767065217391,67,0.01182909604519774,0.7366631791044777,0.18499446268656716,0.8908118805970149,0.9579955671641791,0.0008847006347829124,0.1478198160808858,0.07814508329321135,0.003496914299470383,anschlussfaehige_oberflaeche,,,,,,,,,,
2025,BTC,2025_17k,dio_0dd2,220,3,field_stabil,73,0.012886142983230361,0.7605082191780822,0.1531438219178082,0.7490220136986301,0.8877409863013699,54,0.009532215357458075,0.7665137962962963,0.15766459259259258,0.8945924814814815,0.9572735555555555,93,0.01641949152542373,0.7671157741935485,0.1568608494623656,0.8786491290322581,0.9559165698924731,0.0035333485421933687,0.12962711533362803,0.0681755835911032,0.003717027544557383,anschlussfaehige_oberflaeche,,,,,,,,,,
2025,BTC,2025_17k,dio_1ewh,211,3,field_stabil,78,0.013768755516328331,0.7447882692307692,0.16793278205128206,0.7685935384615384,0.8940405769230768,68,0.012003530450132392,0.7490001470588235,0.17260654411764706,0.8946775,0.9584403382352941,65,0.011475988700564972,0.7503329076923076,0.1725011076923077,0.9075586615384615,0.9638327846153846,-0.0022927668157633595,0.1389651230769231,0.06979220769230776,0.004568325641025633,anschlussfaehige_oberflaeche,,,,,,,,,,
2025,BTC,2025_17k,dio_1kpz,204,3,field_stabil,68,0.012003530450132392,0.7684725147058823,0.14378814705882353,0.7679676764705882,0.8904601029411765,81,0.014298323036187114,0.770678037037037,0.1473008024691358,0.8935225679012345,0.9574168024691357,55,0.00971045197740113,0.7704886909090909,0.14882185454545455,0.9080242727272728,0.9646110545454545,-0.002293078472731261,0.14005659625668465,0.07415095160427798,0.005033707486631012,anschlussfaehige_oberflaeche,,,,,,,,,,
