source,target,relation,edge_kind,count,worlds,duration_avg,exit_rekopplung_delta_avg,exit_strain_delta_avg,exit_phase
dio_mcm_episode_0b7nep9,dio_mcm_episode_0ykar6i,austritt,bruecke_zu_bruecke,44,3,80.5,0.012975,-0.019576,rekoppelnder_austritt
dio_mcm_episode_0b7nep9,dio_mcm_episode_0ykar6i,eintritt,bruecke_zu_bruecke,44,3,59.340909,-0.043951,0.043543,oeffnend_belastender_austritt
dio_mcm_episode_0ykar6i,dio_mcm_episode_0b7nep9,eintritt,bruecke_zu_bruecke,44,4,117.409091,0.00582,-0.010881,rekoppelnder_austritt
dio_mcm_episode_0ykar6i,dio_mcm_episode_0b7nep9,austritt,bruecke_zu_bruecke,44,4,38.840909,-0.046868,0.048892,oeffnend_belastender_austritt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,austritt,bruecke_zu_bruecke,30,6,55.333333,0.006604,-0.016701,rekoppelnder_austritt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,eintritt,bruecke_zu_bruecke,30,6,18.4,-0.04273,0.046407,oeffnend_belastender_austritt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_1jwnjz4,austritt,bruecke_zu_aussen,27,4,112.703704,0.01511,-0.016144,rekoppelnder_austritt
dio_mcm_episode_0mji3u6,dio_mcm_episode_0e7qvj1,eintritt,bruecke_zu_bruecke,25,6,329.44,-0.06435,0.032881,oeffnend_belastender_austritt
dio_mcm_episode_0mji3u6,dio_mcm_episode_0e7qvj1,austritt,bruecke_zu_bruecke,25,6,14.08,0.014041,-0.01913,rekoppelnder_austritt
dio_mcm_episode_18l3thm,dio_mcm_episode_0e7qvj1,eintritt,bruecke_zu_bruecke,25,5,176.16,-0.029399,-0.009447,gemischter_austritt
dio_mcm_episode_18l3thm,dio_mcm_episode_0e7qvj1,austritt,bruecke_zu_bruecke,25,5,6.88,-0.047994,0.050867,oeffnend_belastender_austritt
dio_mcm_episode_1jwnjz4,dio_mcm_episode_0e7qvj1,eintritt,aussen_zu_bruecke,23,4,67.869565,-0.046257,-0.028185,gemischter_austritt
dio_mcm_episode_18l3thm,dio_mcm_episode_1q3us3f,austritt,bruecke_zu_aussen,19,5,8.052632,0.001401,-0.012055,rekoppelnder_austritt
dio_mcm_episode_1q3us3f,dio_mcm_episode_18l3thm,eintritt,aussen_zu_bruecke,16,2,9.875,-0.001104,-0.013125,gemischter_austritt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_0mji3u6,austritt,bruecke_zu_bruecke,12,5,13.083333,-0.040263,0.044311,oeffnend_belastender_austritt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_0mji3u6,eintritt,bruecke_zu_bruecke,12,5,9.083333,0.026195,-0.030644,rekoppelnder_austritt
dio_mcm_episode_0v5p8er,dio_mcm_episode_14l8khu,austritt,bruecke_zu_bruecke,11,3,110.454545,-0.004408,0.002065,oeffnend_belastender_austritt
dio_mcm_episode_0v5p8er,dio_mcm_episode_14l8khu,eintritt,bruecke_zu_bruecke,11,3,50.818182,-0.024438,0.02138,oeffnend_belastender_austritt
dio_mcm_episode_14l8khu,dio_mcm_episode_0v5p8er,eintritt,bruecke_zu_bruecke,11,2,91.454545,0.006064,-0.009384,rekoppelnder_austritt
dio_mcm_episode_14l8khu,dio_mcm_episode_0v5p8er,austritt,bruecke_zu_bruecke,11,2,47.727273,-0.013195,0.008421,oeffnend_belastender_austritt
dio_mcm_episode_1eju9g0,dio_mcm_episode_0b7nep9,eintritt,aussen_zu_bruecke,10,1,26.2,0.019466,-0.027886,rekoppelnder_austritt
dio_mcm_episode_0b7nep9,dio_mcm_episode_1eju9g0,austritt,bruecke_zu_aussen,10,1,58.1,0.020848,-0.027008,rekoppelnder_austritt
dio_mcm_episode_18n06fj,dio_mcm_episode_0mji3u6,eintritt,bruecke_zu_bruecke,10,5,10.7,0.001956,-0.002565,rekoppelnder_austritt
dio_mcm_episode_18n06fj,dio_mcm_episode_0mji3u6,austritt,bruecke_zu_bruecke,10,5,2.7,-0.010332,0.002536,oeffnend_belastender_austritt
dio_mcm_episode_0geqqo3,dio_mcm_episode_0ykar6i,eintritt,aussen_zu_bruecke,9,2,19.222222,-0.001602,0.004605,oeffnend_belastender_austritt
dio_mcm_episode_0w4x7xs,dio_mcm_episode_0b7nep9,eintritt,aussen_zu_bruecke,9,2,78.0,-0.005152,0.008287,oeffnend_belastender_austritt
dio_mcm_episode_0ybr5e3,dio_mcm_episode_0ykar6i,eintritt,aussen_zu_bruecke,9,1,76.555556,-0.065776,-0.021601,gemischter_austritt
dio_mcm_episode_0ykar6i,dio_mcm_episode_0geqqo3,austritt,bruecke_zu_aussen,9,1,82.222222,-0.00332,0.007346,oeffnend_belastender_austritt
dio_mcm_episode_0ykar6i,dio_mcm_episode_0ybr5e3,austritt,bruecke_zu_aussen,9,1,52.444444,0.026829,-0.02459,rekoppelnder_austritt
dio_mcm_episode_0jbl5pq,dio_mcm_episode_0qzjuvj,austritt,bruecke_zu_bruecke,9,6,2.666667,-0.013949,0.015135,oeffnend_belastender_austritt
dio_mcm_episode_0jbl5pq,dio_mcm_episode_0qzjuvj,eintritt,bruecke_zu_bruecke,9,6,2.555556,0.002324,0.003071,gemischter_austritt
dio_mcm_episode_0b7nep9,dio_mcm_episode_0w4x7xs,austritt,bruecke_zu_aussen,8,2,25.375,0.007547,-0.007085,rekoppelnder_austritt
dio_mcm_episode_0hjnwsk,dio_mcm_episode_18n06fj,austritt,bruecke_zu_bruecke,8,4,2.625,0.011815,-0.029801,rekoppelnder_austritt
dio_mcm_episode_0hjnwsk,dio_mcm_episode_18n06fj,eintritt,bruecke_zu_bruecke,8,4,3.0,0.002658,-0.012623,rekoppelnder_austritt
dio_mcm_episode_14coypf,dio_mcm_episode_14l8khu,austritt,bruecke_zu_bruecke,7,2,25.571429,0.003348,-0.010171,rekoppelnder_austritt
dio_mcm_episode_14coypf,dio_mcm_episode_14l8khu,eintritt,bruecke_zu_bruecke,7,2,49.571429,-0.018469,0.020326,oeffnend_belastender_austritt
dio_mcm_episode_18l3thm,dio_mcm_episode_14coypf,eintritt,bruecke_zu_bruecke,7,3,253.142857,-0.091372,0.104936,oeffnend_belastender_austritt
dio_mcm_episode_18l3thm,dio_mcm_episode_14coypf,austritt,bruecke_zu_bruecke,7,3,49.142857,0.00639,-0.013635,rekoppelnder_austritt
dio_mcm_episode_0lne9ax,dio_mcm_episode_0jbl5pq,eintritt,aussen_zu_bruecke,6,6,3.0,-0.011223,0.01436,oeffnend_belastender_austritt
dio_mcm_episode_0z748ck,dio_mcm_episode_0e7qvj1,eintritt,aussen_zu_bruecke,6,5,30.0,-0.002438,0.000371,oeffnend_belastender_austritt
dio_mcm_episode_1hdpu9s,dio_mcm_episode_0e7qvj1,eintritt,aussen_zu_bruecke,6,3,17.333333,-0.012985,0.011971,oeffnend_belastender_austritt
dio_mcm_episode_1jwnjz4,dio_mcm_episode_14coypf,eintritt,aussen_zu_bruecke,6,3,104.0,-0.145805,0.002738,oeffnend_belastender_austritt
dio_mcm_episode_0qzjuvj,dio_mcm_episode_0z748ck,austritt,bruecke_zu_aussen,6,5,3.0,0.000115,0.006654,gemischter_austritt
dio_mcm_episode_14l8khu,dio_mcm_episode_14coypf,eintritt,bruecke_zu_bruecke,6,2,51.333333,0.008376,-0.004289,rekoppelnder_austritt
dio_mcm_episode_14l8khu,dio_mcm_episode_14coypf,austritt,bruecke_zu_bruecke,6,2,28.333333,-0.033371,0.040573,oeffnend_belastender_austritt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_1hdpu9s,austritt,bruecke_zu_aussen,5,2,20.4,-0.018389,0.01785,oeffnend_belastender_austritt
dio_mcm_episode_14coypf,dio_mcm_episode_18l3thm,austritt,bruecke_zu_bruecke,5,2,24.8,-0.087388,0.08821,oeffnend_belastender_austritt
dio_mcm_episode_14coypf,dio_mcm_episode_18l3thm,eintritt,bruecke_zu_bruecke,5,2,9.4,-0.003992,-0.004161,gemischter_austritt
dio_mcm_episode_0aztxel,dio_mcm_episode_0hjnwsk,eintritt,aussen_zu_bruecke,4,3,3.0,0.008968,-0.023335,rekoppelnder_austritt
dio_mcm_episode_0v5p8er,dio_mcm_episode_1ds636q,austritt,bruecke_zu_aussen,4,2,197.25,-0.008828,-0.001493,gemischter_austritt
dio_mcm_episode_1al8fjz,dio_mcm_episode_1y2gc2i,austritt,bruecke_zu_aussen,4,4,2.0,0.012812,-0.014263,rekoppelnder_austritt
dio_mcm_episode_01s42m6,dio_mcm_episode_0b7nep9,eintritt,aussen_zu_bruecke,3,2,195.333333,-0.058715,0.069529,oeffnend_belastender_austritt
dio_mcm_episode_0ldht3x,dio_mcm_episode_0l3i7ey,eintritt,aussen_zu_bruecke,3,3,1.333333,-0.012985,0.020029,oeffnend_belastender_austritt
dio_mcm_episode_1ds636q,dio_mcm_episode_0v5p8er,eintritt,aussen_zu_bruecke,3,1,290.666667,-0.050217,0.044191,oeffnend_belastender_austritt
dio_mcm_episode_1q3us3f,dio_mcm_episode_0e7qvj1,eintritt,aussen_zu_bruecke,3,2,670.333333,-0.023995,0.010706,oeffnend_belastender_austritt
dio_mcm_episode_0b7nep9,dio_mcm_episode_0mw7rev,austritt,bruecke_zu_aussen,3,2,500.0,-0.155028,0.181219,oeffnend_belastender_austritt
dio_mcm_episode_14coypf,dio_mcm_episode_1jwnjz4,austritt,bruecke_zu_aussen,3,3,121.0,-0.001616,0.018525,oeffnend_belastender_austritt
dio_mcm_episode_0om13wf,dio_mcm_episode_0ultars,austritt,bruecke_zu_bruecke,3,2,1.666667,0.05802,-0.042981,rekoppelnder_austritt
dio_mcm_episode_0om13wf,dio_mcm_episode_0ultars,eintritt,bruecke_zu_bruecke,3,2,1.333333,-0.018467,0.014005,oeffnend_belastender_austritt
dio_mcm_episode_06ccuqv,dio_mcm_episode_1al8fjz,eintritt,aussen_zu_bruecke,2,2,2.0,0.00668,-0.010058,rekoppelnder_austritt
dio_mcm_episode_10b8y4e,dio_mcm_episode_0mji3u6,eintritt,aussen_zu_bruecke,2,2,24.0,0.011414,-0.039798,rekoppelnder_austritt
dio_mcm_episode_1ds636q,dio_mcm_episode_14coypf,eintritt,aussen_zu_bruecke,2,2,56.5,-0.101741,0.098402,oeffnend_belastender_austritt
dio_mcm_episode_1k0rrn2,dio_mcm_episode_1al8fjz,eintritt,aussen_zu_bruecke,2,2,1.0,0.014013,-0.012835,rekoppelnder_austritt
dio_mcm_episode_1q3us3f,dio_mcm_episode_1hs3jsa,eintritt,aussen_zu_bruecke,2,1,223.0,-0.104817,0.107923,oeffnend_belastender_austritt
dio_mcm_episode_1qqnvqf,dio_mcm_episode_0ykar6i,eintritt,aussen_zu_bruecke,2,2,41.5,-0.012487,0.021576,oeffnend_belastender_austritt
dio_mcm_episode_0e7qvj1,dio_mcm_episode_0mm85pw,austritt,bruecke_zu_aussen,2,2,773.0,-0.187292,0.209656,oeffnend_belastender_austritt
dio_mcm_episode_0l3i7ey,dio_mcm_episode_0lne9ax,austritt,bruecke_zu_aussen,2,2,1.5,0.041283,-0.04065,rekoppelnder_austritt
dio_mcm_episode_0ultars,dio_mcm_episode_0aztxel,austritt,bruecke_zu_aussen,2,1,1.0,0.017832,-0.035657,rekoppelnder_austritt
dio_mcm_episode_1al8fjz,dio_mcm_episode_1k0rrn2,austritt,bruecke_zu_aussen,2,2,1.0,-0.009996,0.008335,oeffnend_belastender_austritt
dio_mcm_episode_1hs3jsa,dio_mcm_episode_1q3us3f,austritt,bruecke_zu_aussen,2,2,83.5,-0.01755,0.021254,oeffnend_belastender_austritt
dio_mcm_episode_0qzjuvj,dio_mcm_episode_0hjnwsk,eintritt,bruecke_zu_bruecke,2,2,2.0,0.009472,-0.045421,rekoppelnder_austritt
dio_mcm_episode_0qzjuvj,dio_mcm_episode_0hjnwsk,austritt,bruecke_zu_bruecke,2,2,1.0,0.009829,-0.006091,rekoppelnder_austritt
dio_mcm_episode_00er6t0,dio_mcm_episode_00yl137,eintritt,aussen_zu_bruecke,1,1,1.0,-0.006293,0.029356,oeffnend_belastender_austritt
dio_mcm_episode_00nzcuc,dio_mcm_episode_0b7nep9,eintritt,aussen_zu_bruecke,1,1,353.0,0.00835,-0.012795,rekoppelnder_austritt
dio_mcm_episode_00oqshz,dio_mcm_episode_00yl137,eintritt,aussen_zu_bruecke,1,1,2.0,-0.042199,0.03316,oeffnend_belastender_austritt
dio_mcm_episode_0393v08,dio_mcm_episode_1al8fjz,eintritt,aussen_zu_bruecke,1,1,3.0,0.016111,-0.022852,rekoppelnder_austritt
dio_mcm_episode_0aztxel,dio_mcm_episode_0jbl5pq,eintritt,aussen_zu_bruecke,1,1,2.0,0.001627,-0.006477,rekoppelnder_austritt
dio_mcm_episode_0d40zcv,dio_mcm_episode_0mji3u6,eintritt,aussen_zu_bruecke,1,1,88.0,-0.005703,-0.005283,gemischter_austritt
dio_mcm_episode_0dsrwv5,dio_mcm_episode_1al8fjz,eintritt,aussen_zu_bruecke,1,1,1.0,-0.026241,0.028258,oeffnend_belastender_austritt
dio_mcm_episode_0htnihj,dio_mcm_episode_0hjnwsk,eintritt,aussen_zu_bruecke,1,1,2.0,0.02672,-0.025095,rekoppelnder_austritt
