asset,timeframe,window_start,component,lag,control_kind,real_member_coverage,control_member_coverage,real_minus_control_member_coverage,real_family_event_share,control_family_event_share,real_minus_control_family_event_share,real_phase_complete_ratio,control_phase_complete_ratio,real_minus_control_phase_complete_ratio,real_mean_afterimage_delta,control_mean_afterimage_delta,real_minus_control_mean_afterimage_delta,real_mean_temporal_delta,control_mean_temporal_delta,real_minus_control_mean_temporal_delta,real_joint_coverage_event_advantage
BTC,15m,0,sign,17,sign_phase_017,0.5,0.75,-0.25,0.015090543259557344,0.019114688128772636,-0.004024144869215292,0.125,0.125,0.0,0.2409515333333333,0.18996483928571428,0.05098669404761902,0.5720604999999999,0.44991726785714276,0.1221432321428571,0
BTC,15m,0,sign,83,sign_phase_083,0.5,0.625,-0.125,0.015090543259557344,0.013078470824949699,0.002012072434607645,0.125,0.25,-0.125,0.2409515333333333,0.23411039999999997,0.006841133333333332,0.5720604999999999,0.6887672,-0.11670670000000016,0
BTC,15m,0,sign,251,sign_phase_251,0.5,0.875,-0.375,0.015090543259557344,0.01609657947686117,-0.0010060362173038243,0.125,0.125,0.0,0.2409515333333333,0.1772191111111111,0.0637324222222222,0.5720604999999999,0.4367768333333334,0.13528366666666647,0
BTC,15m,0,magnitude,17,magnitude_phase_017,0.5,1.0,-0.5,0.015090543259557344,0.015090543259557344,0.0,0.125,0.125,0.0,0.2409515333333333,-0.011146375,0.2520979083333333,0.5720604999999999,-0.150310875,0.7223713749999998,0
BTC,15m,0,magnitude,83,magnitude_phase_083,0.5,0.75,-0.25,0.015090543259557344,0.02012072434607646,-0.005030181086519115,0.125,0.25,-0.125,0.2409515333333333,0.26803244444444446,-0.02708091111111116,0.5720604999999999,0.38060266666666676,0.1914578333333331,0
BTC,15m,0,magnitude,251,magnitude_phase_251,0.5,0.75,-0.25,0.015090543259557344,0.02012072434607646,-0.005030181086519115,0.125,0.125,0.0,0.2409515333333333,0.18168571428571428,0.05926581904761902,0.5720604999999999,0.4108072142857142,0.16125328571428565,0
BTC,15m,0,wick,17,wick_phase_017,0.5,0.75,-0.25,0.015090543259557344,0.026156941649899398,-0.011066398390342054,0.125,0.125,0.0,0.2409515333333333,0.1847355714285714,0.05621596190476191,0.5720604999999999,0.34634464935064935,0.2257158506493505,0
BTC,15m,0,wick,83,wick_phase_083,0.5,0.625,-0.125,0.015090543259557344,0.02414486921529175,-0.009054325955734405,0.125,0.25,-0.125,0.2409515333333333,0.09107683333333334,0.14987469999999997,0.5720604999999999,0.2807311666666667,0.29132933333333316,0
BTC,15m,0,wick,251,wick_phase_251,0.5,0.625,-0.125,0.015090543259557344,0.02112676056338028,-0.006036217303822937,0.125,0.25,-0.125,0.2409515333333333,0.36221728571428574,-0.12126575238095244,0.5720604999999999,0.41238671428571444,0.15967378571428542,0
BTC,15m,0,volume,17,volume_phase_017,0.5,0.75,-0.25,0.015090543259557344,0.022132796780684104,-0.00704225352112676,0.125,0.25,-0.125,0.2409515333333333,0.24822608333333335,-0.007274550000000046,0.5720604999999999,0.5959734166666667,-0.02391291666666684,0
BTC,15m,0,volume,83,volume_phase_083,0.5,0.875,-0.375,0.015090543259557344,0.022132796780684104,-0.00704225352112676,0.125,0.125,0.0,0.2409515333333333,0.1069272638888889,0.1340242694444444,0.5720604999999999,0.29811286111111107,0.2739476388888888,0
BTC,15m,0,volume,251,volume_phase_251,0.5,0.75,-0.25,0.015090543259557344,0.02414486921529175,-0.009054325955734405,0.125,0.25,-0.125,0.2409515333333333,0.20859600000000003,0.03235553333333327,0.5720604999999999,0.4404723,0.13158819999999988,0
BTC,15m,12000,sign,17,sign_phase_017,0.75,0.75,0.0,0.022132796780684104,0.022132796780684104,0.0,0.25,0.375,-0.125,0.19866495000000003,0.3174226857142857,-0.11875773571428569,0.37735882499999995,0.46835417142857144,-0.09099534642857149,0
BTC,15m,12000,sign,83,sign_phase_083,0.75,0.75,0.0,0.022132796780684104,0.012072434607645875,0.01006036217303823,0.25,0.125,0.125,0.19866495000000003,0.142429,0.056235950000000035,0.37735882499999995,0.3073335833333334,0.07002524166666657,0
BTC,15m,12000,sign,251,sign_phase_251,0.75,0.75,0.0,0.022132796780684104,0.015090543259557344,0.00704225352112676,0.25,0.125,0.125,0.19866495000000003,0.14077928571428572,0.05788566428571432,0.37735882499999995,0.5638555714285715,-0.1864967464285715,0
