holdout_id,group,role_family,component,observed_relation,pseudo_same_relation,pseudo_families,mean_match_distance,median_source_event_ratio,observed_control_minus_real_family_continuity_score,pseudo_mean_control_minus_real_family_continuity_score,observed_percentile_control_minus_real_family_continuity_score,observed_control_minus_real_mean_family_event_share,pseudo_mean_control_minus_real_mean_family_event_share,observed_percentile_control_minus_real_mean_family_event_share,observed_control_minus_real_mean_member_coverage,pseudo_mean_control_minus_real_mean_member_coverage,observed_percentile_control_minus_real_mean_member_coverage
2083_5m_windows,overall,rf_06,volume,abgeschwaecht,42,100,0.5210120305799294,1.345,-0.021478512039736608,-0.021136032120628267,0.54,-0.0010898725687458074,0.0002207690587972278,0.09,-0.08333333333333331,-0.04840277777777779,0.18
2083_5m_windows,year:2024,rf_06,volume,abgeschwaecht,71,100,0.5210120305799294,1.345,-0.01005465592033905,-0.04193311163095416,1.0,-0.0009501453163424994,-0.000482338475296222,0.38,-0.0763888888888889,-0.09034722222222222,0.66
2083_5m_windows,year:2025,rf_06,volume,abgeschwaecht,21,100,0.5210120305799294,1.345,-0.02659393058298576,0.001439390170942907,0.21,-0.001229599821149117,0.0009238765928906771,0.04,-0.09027777777777779,-0.006458333333333339,0.085
2083_5m_windows,asset:BTC,rf_06,volume,gemischt,39,100,0.5210120305799294,1.345,0.00568086883876362,-0.031200891759383266,0.91,0.00016767270288397043,-0.00028224904985468385,0.585,0.0,-0.07375,0.92
2083_5m_windows,asset:SOL,rf_06,volume,abgeschwaecht,17,100,0.5210120305799294,1.345,-0.058116472395409846,-0.006345081311711453,0.0,-0.0023474178403755865,0.0007237871674491394,0.0,-0.16666666666666663,-0.023055555555555555,0.0
2083_5m_windows,overall,rf_07,volume,gemischt,50,100,2.3539725387434105,0.31767719897523483,-0.013075260615306394,-0.040137650133684685,0.54,0.002179745137491612,0.00018332215515314096,0.96,0.0,-0.04722222222222223,0.705
2083_5m_windows,year:2024,rf_07,volume,gemischt,44,100,2.3539725387434105,0.31767719897523483,-0.021058780576852842,-0.041782471629875896,0.61,0.0001676727028839739,0.00011513525598032617,0.53,0.0,-0.04944444444444445,0.745
2083_5m_windows,year:2025,rf_07,volume,gemischt,50,100,2.3539725387434105,0.31767719897523483,-0.00646640935279974,-0.03830902446371003,0.49,0.004191817572099264,0.0002515090543259556,1.0,0.0,-0.04499999999999999,0.56
2083_5m_windows,asset:BTC,rf_07,volume,gemischt,54,100,2.3539725387434105,0.31767719897523483,-0.021354127236480114,-0.06100292323280085,0.58,0.003297563156718083,0.0008260675162083611,0.94,0.0,-0.06722222222222222,0.71
2083_5m_windows,asset:SOL,rf_07,volume,gemischt,50,100,2.3539725387434105,0.31767719897523483,-0.006056666124925503,-0.019579177868648736,0.51,0.001061927118265145,-0.00045942320590207933,0.87,0.0,-0.027222222222222228,0.595
2083_5m_windows,overall,rf_08,volume,verstaerkt,9,100,0.501292711736154,1.0260586319218241,0.12524284253578732,-0.10760346021329183,1.0,0.0006986362620165429,-0.00014866979655712057,0.78,0.1527777777777778,-0.11722222222222223,1.0
2083_5m_windows,year:2024,rf_08,volume,verstaerkt,12,100,0.501292711736154,1.0260586319218241,0.044642857142857206,-0.07788183189353048,0.88,0.0003912363067292645,-5.5331991951710336e-05,0.76,0.02777777777777779,-0.08972222222222223,0.89
2083_5m_windows,year:2025,rf_08,volume,verstaerkt,14,100,0.501292711736154,1.0260586319218241,0.25010752688172044,-0.13515722693173304,1.0,0.0010060362173038226,-0.00024200760116253078,0.885,0.2777777777777778,-0.14472222222222222,1.0
2083_5m_windows,asset:BTC,rf_08,volume,verstaerkt,18,100,0.501292711736154,1.0260586319218241,0.032991388044579684,-0.11364265630105888,0.82,0.0005589090096132353,-0.00022971160295103958,0.75,0.02777777777777779,-0.13083333333333333,0.835
2083_5m_windows,asset:SOL,rf_08,volume,verstaerkt,10,100,0.501292711736154,1.0260586319218241,0.2541062801932368,-0.09975560614632974,1.0,0.0008383635144198522,-6.762799016320151e-05,0.86,0.2777777777777778,-0.10361111111111111,1.0
2083_5m_windows,overall,rf_10,volume,abgeschwaecht,27,100,0.523890102114776,0.9022988505747126,-0.3305555555555555,-0.03301229835668668,0.0,-0.001006036217303823,0.00039961994187346294,0.02,-0.3055555555555555,-0.02930555555555556,0.0
2083_5m_windows,year:2024,rf_10,volume,abgeschwaecht,25,100,0.523890102114776,0.9022988505747126,-0.18014705882352938,-0.03761229449087205,0.02,-0.0010619271182651466,0.0005298457411133467,0.01,-0.1388888888888889,-0.03444444444444445,0.11
2083_5m_windows,year:2025,rf_10,volume,abgeschwaecht,32,100,0.523890102114776,0.9022988505747126,-0.4787280701754385,-0.0276010631381956,0.0,-0.0009501453163424996,0.0002693941426335791,0.035,-0.47222222222222227,-0.024166666666666666,0.0
2083_5m_windows,asset:BTC,rf_10,volume,abgeschwaecht,32,100,0.523890102114776,0.9022988505747126,-0.4733333333333332,-0.05122015182047635,0.0,-0.0021238542365302933,0.0004610999329309188,0.0,-0.4444444444444444,-0.055,0.0
2083_5m_windows,asset:SOL,rf_10,volume,gemischt,43,100,0.523890102114776,0.9022988505747126,-0.18846153846153846,-0.01000671418942987,0.06,0.00011178180192264681,0.000338139950816007,0.425,-0.16666666666666663,-0.0036111111111111183,0.14
2083_5m_windows,overall,rf_13,volume,abgeschwaecht,38,100,0.14455981408974777,1.0034562211981566,-0.052104704816050784,-0.04698711255308525,0.46,-0.00016767270288397087,0.0003121506818689917,0.31,-0.04629629629629628,-0.06583333333333333,0.555
