lookback,target_group,chain,asset,events,dominant_motion_class,dominant_motion_share,dominant_sensory_class,dominant_sensory_share,dominant_field_contact_class,dominant_field_contact_share,dominant_combined_class,dominant_combined_share,symbols,motion_classes,sensory_classes,field_contact_classes,avg_range,avg_changes,avg_carry,avg_strain,avg_rekopplung
lb144,oberflaeche_rekoppelt,long_btc_sol,BTC,19,weite_unruhige_vorphase_fallend,0.42105263157894735,sicht_zerfaellt_wechselnd_mittel,0.2631578947368421,offene_rekopplung,0.6842105263157895,weite_unruhige_vorphase_fallend | sicht_zerfaellt_wechselnd_mittel | offene_rekopplung,0.15789473684210525,dio_mcm_episode_1y7uo9c:10;dio_mcm_episode_16yidit:9,weite_unruhige_vorphase_fallend:8;enge_unruhige_vorphase_fallend:6;enge_unruhige_vorphase_steigend:4;weite_unruhige_vorphase_steigend:1,sicht_zerfaellt_wechselnd_mittel:5;sicht_wechselt_gedaempft_leise:4;sicht_zerfaellt_gedaempft_mittel:3;sicht_stabil_gedaempft_mittel:2;sicht_zerfaellt_gedaempft_leise:1;sicht_offen_gedaempft_mittel:1,offene_rekopplung:13;tragende_rekopplung:6,3.591453837923001,75.84210526315789,0.41378494736842103,0.22926942105263157,0.6193692631578948
lb144,rekopplung_oeffnet,long_btc_sol,SOL,49,weite_unruhige_vorphase_steigend,0.2857142857142857,sicht_zerfaellt_hoch_schwingend_laut,0.5714285714285714,spannungsnahe_oeffnung,0.7142857142857143,weite_unruhige_vorphase_steigend | sicht_zerfaellt_hoch_schwingend_laut | spannungsnahe_oeffnung,0.12244897959183673,dio_mcm_episode_16bqw8k:33;dio_mcm_episode_0xg0gjh:16,weite_unruhige_vorphase_steigend:14;weite_unruhige_vorphase_fallend:14;enge_unruhige_vorphase_fallend:12;enge_unruhige_vorphase_steigend:5;enge_unruhige_vorphase_seitwaerts:3;weite_unruhige_vorphase_seitwaerts:1,sicht_zerfaellt_hoch_schwingend_laut:28;sicht_stabil_hoch_schwingend_laut:18;sicht_zerfaellt_wechselnd_mittel:2;sicht_zerfaellt_hell_getragen_laut:1,spannungsnahe_oeffnung:35;offene_rekopplung:13;getragen_offen:1,5.4372072404033664,71.22448979591837,0.3702297551020408,0.28454495918367345,0.5812915510204082
lb144,rekopplung_oeffnet,multiasset,DOGE,26,weite_unruhige_vorphase_steigend,0.38461538461538464,sicht_zerfaellt_hoch_schwingend_laut,0.5,spannungsnahe_oeffnung,0.7692307692307693,weite_unruhige_vorphase_fallend | sicht_zerfaellt_hoch_schwingend_laut | spannungsnahe_oeffnung,0.19230769230769232,dio_mcm_episode_16bqw8k:15;dio_mcm_episode_0xg0gjh:11,weite_unruhige_vorphase_steigend:10;weite_unruhige_vorphase_fallend:10;enge_unruhige_vorphase_fallend:4;enge_unruhige_vorphase_steigend:2,sicht_zerfaellt_hoch_schwingend_laut:13;sicht_stabil_hoch_schwingend_laut:10;sicht_stabil_wechselnd_mittel:1;sicht_stabil_hell_getragen_laut:1;sicht_wechselt_hoch_schwingend_laut:1,spannungsnahe_oeffnung:20;offene_rekopplung:4;offener_feldkontakt:1;getragen_offen:1,8.103615702412593,74.0,0.37051746153846155,0.28694165384615383,0.5822491538461538
lb144,rekopplung_oeffnet,multiasset,PAXG,19,enge_unruhige_vorphase_steigend,0.47368421052631576,sicht_zerfaellt_hoch_schwingend_laut,0.8421052631578947,spannungsnahe_oeffnung,0.6842105263157895,enge_unruhige_vorphase_steigend | sicht_zerfaellt_hoch_schwingend_laut | spannungsnahe_oeffnung,0.2631578947368421,dio_mcm_episode_16bqw8k:11;dio_mcm_episode_0xg0gjh:8,enge_unruhige_vorphase_steigend:9;enge_unruhige_vorphase_fallend:6;enge_unruhige_vorphase_seitwaerts:4,sicht_zerfaellt_hoch_schwingend_laut:16;sicht_stabil_hoch_schwingend_laut:2;sicht_wechselt_hoch_schwingend_laut:1,spannungsnahe_oeffnung:13;offene_rekopplung:5;offener_feldkontakt:1,1.0361146374603074,46.68421052631579,0.3641561578947369,0.2852745263157895,0.5820233157894737
lb144,rekopplung_oeffnet,multiasset,XRP,21,weite_unruhige_vorphase_steigend,0.5238095238095238,sicht_zerfaellt_hoch_schwingend_laut,0.5714285714285714,spannungsnahe_oeffnung,0.8095238095238095,weite_unruhige_vorphase_steigend | sicht_zerfaellt_hoch_schwingend_laut | spannungsnahe_oeffnung,0.38095238095238093,dio_mcm_episode_16bqw8k:15;dio_mcm_episode_0xg0gjh:6,weite_unruhige_vorphase_steigend:11;weite_unruhige_vorphase_fallend:5;enge_unruhige_vorphase_steigend:3;enge_unruhige_vorphase_fallend:2,sicht_zerfaellt_hoch_schwingend_laut:12;sicht_stabil_hoch_schwingend_laut:9,spannungsnahe_oeffnung:17;offene_rekopplung:4,9.348426180828287,70.42857142857143,0.3653188095238095,0.28707557142857143,0.5794208095238096
lb48,oberflaeche_rekoppelt,long_btc_sol,BTC,19,enge_unruhige_vorphase_fallend,0.47368421052631576,sicht_zerfaellt_wechselnd_mittel,0.2631578947368421,offene_rekopplung,0.6842105263157895,enge_unruhige_vorphase_fallend | sicht_zerfaellt_wechselnd_mittel | offene_rekopplung,0.10526315789473684,dio_mcm_episode_1y7uo9c:10;dio_mcm_episode_16yidit:9,enge_unruhige_vorphase_fallend:9;weite_unruhige_vorphase_fallend:6;enge_unruhige_vorphase_steigend:3;weite_unruhige_vorphase_steigend:1,sicht_zerfaellt_wechselnd_mittel:5;sicht_wechselt_gedaempft_leise:4;sicht_zerfaellt_gedaempft_mittel:3;sicht_stabil_gedaempft_mittel:2;sicht_zerfaellt_gedaempft_leise:1;sicht_offen_gedaempft_mittel:1,offene_rekopplung:13;tragende_rekopplung:6,3.0832184726782423,23.57894736842105,0.41378494736842103,0.22926942105263157,0.6193692631578948
lb48,oberflaeche_rekoppelt,long_btc_sol,SOL,22,weite_unruhige_vorphase_steigend,0.3181818181818182,sicht_zerfaellt_wechselnd_mittel,0.18181818181818182,offene_rekopplung,0.6363636363636364,weite_unruhige_vorphase_steigend | sicht_stabil_gedaempft_leise | tragende_rekopplung,0.09090909090909091,dio_mcm_episode_16yidit:12;dio_mcm_episode_1y7uo9c:10,weite_unruhige_vorphase_steigend:7;weite_unruhige_vorphase_fallend:6;enge_unruhige_vorphase_steigend:4;weite_gerichtete_vorphase_steigend:2;enge_unruhige_vorphase_fallend:1;weite_unruhige_vorphase_seitwaerts:1,sicht_zerfaellt_wechselnd_mittel:4;sicht_stabil_gedaempft_leise:4;sicht_stabil_wechselnd_mittel:3;sicht_wechselt_wechselnd_mittel:3;sicht_wechselt_gedaempft_leise:2;sicht_offen_wechselnd_mittel:1,offene_rekopplung:14;tragende_rekopplung:8,7.954862013166519,23.181818181818183,0.40728304545454547,0.2333225909090909,0.6134112727272728
lb48,oberflaeche_rekoppelt,multiasset,DOGE,16,weite_unruhige_vorphase_steigend,0.4375,sicht_zerfaellt_gedaempft_leise,0.1875,tragende_rekopplung,0.6875,weite_unruhige_vorphase_steigend | sicht_zerfaellt_gedaempft_leise | offene_rekopplung,0.0625,dio_mcm_episode_1y7uo9c:13;dio_mcm_episode_16yidit:3,weite_unruhige_vorphase_steigend:7;weite_unruhige_vorphase_fallend:3;mittlere_vorphase_fallend:2;enge_unruhige_vorphase_fallend:2;mittlere_vorphase_seitwaerts:1;enge_unruhige_vorphase_seitwaerts:1,sicht_zerfaellt_gedaempft_leise:3;sicht_stabil_gedaempft_leise:3;sicht_wechselt_gedaempft_leise:3;sicht_offen_gedaempft_leise:2;sicht_wechselt_wechselnd_mittel:2;sicht_zerfaellt_gedaempft_mittel:1,tragende_rekopplung:11;offene_rekopplung:5,5.288796127619456,22.375,0.4384795,0.1965084375,0.6451564375
lb48,oberflaeche_rekoppelt,multiasset,PAXG,13,enge_unruhige_vorphase_steigend,0.9230769230769231,sicht_zerfaellt_wechselnd_mittel,0.23076923076923078,offene_rekopplung,0.5384615384615384,enge_unruhige_vorphase_steigend | sicht_zerfaellt_wechselnd_mittel | offene_rekopplung,0.23076923076923078,dio_mcm_episode_16yidit:7;dio_mcm_episode_1y7uo9c:6,enge_unruhige_vorphase_steigend:12;mittlere_vorphase_seitwaerts:1,sicht_zerfaellt_wechselnd_mittel:3;sicht_wechselt_gedaempft_mittel:2;sicht_stabil_gedaempft_leise:2;sicht_zerfaellt_gedaempft_leise:2;sicht_zerfaellt_gedaempft_mittel:2;sicht_wechselt_wechselnd_mittel:2,offene_rekopplung:7;tragende_rekopplung:6,1.940685218369739,22.153846153846153,0.39829923076923074,0.23665369230769231,0.6088625384615385
lb48,oberflaeche_rekoppelt,multiasset,XRP,10,weite_unruhige_vorphase_fallend,0.4,sicht_stabil_gedaempft_leise,0.3,tragende_rekopplung,0.6,weite_unruhige_vorphase_fallend | sicht_stabil_gedaempft_leise | tragende_rekopplung,0.2,dio_mcm_episode_1y7uo9c:6;dio_mcm_episode_16yidit:4,weite_unruhige_vorphase_fallend:4;weite_unruhige_vorphase_steigend:4;enge_unruhige_vorphase_steigend:1;weite_gerichtete_vorphase_fallend:1,sicht_stabil_gedaempft_leise:3;sicht_zerfaellt_gedaempft_leise:2;sicht_zerfaellt_wechselnd_mittel:2;sicht_wechselt_gedaempft_leise:1;sicht_stabil_gedaempft_mittel:1;sicht_stabil_hell_getragen_mittel:1,tragende_rekopplung:6;offene_rekopplung:4,8.912954239260994,23.5,0.43781480000000006,0.1966448,0.6432371
lb48,oberflaeche_rekoppelt_spaet,long_btc_sol,BTC,13,enge_unruhige_vorphase_fallend,0.38461538461538464,sicht_zerfaellt_hoch_schwingend_laut,0.6153846153846154,offene_rekopplung,0.9230769230769231,enge_unruhige_vorphase_fallend | sicht_zerfaellt_hoch_schwingend_laut | offene_rekopplung,0.23076923076923078,dio_mcm_episode_0x60uui:13,enge_unruhige_vorphase_fallend:5;enge_unruhige_vorphase_steigend:5;enge_unruhige_vorphase_seitwaerts:2;mittlere_vorphase_steigend:1,sicht_zerfaellt_hoch_schwingend_laut:8;sicht_zerfaellt_hoch_schwingend_mittel:2;sicht_wechselt_wechselnd_mittel:1;sicht_wechselt_hell_getragen_mittel:1;sicht_zerfaellt_wechselnd_mittel:1,offene_rekopplung:12;spannungsnahe_oeffnung:1,1.6685837089228646,22.923076923076923,0.3784289230769231,0.2688926923076923,0.589744923076923
lb48,oberflaeche_rekoppelt_spaet,long_btc_sol,SOL,9,enge_unruhige_vorphase_steigend,0.4444444444444444,sicht_zerfaellt_hoch_schwingend_laut,0.3333333333333333,offene_rekopplung,1.0,enge_unruhige_vorphase_steigend | sicht_zerfaellt_hoch_schwingend_mittel | offene_rekopplung,0.2222222222222222,dio_mcm_episode_0x60uui:9,enge_unruhige_vorphase_steigend:4;enge_unruhige_vorphase_fallend:2;weite_unruhige_vorphase_fallend:1;weite_gerichtete_vorphase_steigend:1;mittlere_vorphase_steigend:1,sicht_zerfaellt_hoch_schwingend_laut:3;sicht_zerfaellt_hoch_schwingend_mittel:2;sicht_zerfaellt_wechselnd_mittel:2;sicht_stabil_wechselnd_mittel:1;sicht_zerfaellt_hell_getragen_mittel:1,offene_rekopplung:9,3.3982254091471087,21.444444444444443,0.37833633333333333,0.2664094444444445,0.5901612222222222
lb48,oberflaeche_rekoppelt_spaet,multiasset,DOGE,5,weite_unruhige_vorphase_fallend,0.6,sicht_zerfaellt_hoch_schwingend_laut,1.0,offene_rekopplung,0.6,enge_unruhige_vorphase_steigend | sicht_zerfaellt_hoch_schwingend_laut | offene_rekopplung,0.4,dio_mcm_episode_0x60uui:5,weite_unruhige_vorphase_fallend:3;enge_unruhige_vorphase_steigend:2,sicht_zerfaellt_hoch_schwingend_laut:5,offene_rekopplung:3;spannungsnahe_oeffnung:2,5.81848835618243,27.2,0.3710482,0.2753858,0.5849562
lb48,oberflaeche_rekoppelt_spaet,multiasset,PAXG,9,mittlere_vorphase_seitwaerts,0.3333333333333333,sicht_zerfaellt_hoch_schwingend_laut,0.4444444444444444,offene_rekopplung,1.0,mittlere_vorphase_seitwaerts | sicht_zerfaellt_hoch_schwingend_laut | offene_rekopplung,0.2222222222222222,dio_mcm_episode_0x60uui:9,mittlere_vorphase_seitwaerts:3;mittlere_vorphase_steigend:2;feine_ruhevorphase_seitwaerts:1;feine_ruhevorphase_steigend:1;enge_unruhige_vorphase_seitwaerts:1;mittlere_vorphase_fallend:1,sicht_zerfaellt_hoch_schwingend_laut:4;sicht_zerfaellt_wechselnd_mittel:2;sicht_zerfaellt_hoch_schwingend_mittel:2;sicht_zerfaellt_hell_getragen_mittel:1,offene_rekopplung:9,0.6868185059619782,15.555555555555555,0.3745418888888889,0.2676183333333333,0.593382
lb48,oberflaeche_rekoppelt_spaet,multiasset,XRP,10,weite_unruhige_vorphase_fallend,0.5,sicht_zerfaellt_hoch_schwingend_laut,0.4,offene_rekopplung,0.8,weite_unruhige_vorphase_steigend | sicht_zerfaellt_hoch_schwingend_laut | offene_rekopplung,0.3,dio_mcm_episode_0x60uui:10,weite_unruhige_vorphase_fallend:5;weite_unruhige_vorphase_steigend:3;enge_unruhige_vorphase_steigend:1;weite_gerichtete_vorphase_steigend:1,sicht_zerfaellt_hoch_schwingend_laut:4;sicht_zerfaellt_wechselnd_mittel:3;sicht_stabil_hell_getragen_laut:2;sicht_zerfaellt_hoch_schwingend_mittel:1,offene_rekopplung:8;spannungsnahe_oeffnung:2,6.764026989816038,24.0,0.3763821,0.2684438,0.5893918
lb48,rekopplung_oeffnet,long_btc_sol,BTC,63,enge_unruhige_vorphase_fallend,0.31746031746031744,sicht_zerfaellt_hoch_schwingend_laut,0.6349206349206349,spannungsnahe_oeffnung,0.6666666666666666,enge_unruhige_vorphase_fallend | sicht_zerfaellt_hoch_schwingend_laut | offene_rekopplung,0.12698412698412698,dio_mcm_episode_16bqw8k:36;dio_mcm_episode_0xg0gjh:27,enge_unruhige_vorphase_fallend:20;enge_unruhige_vorphase_steigend:20;enge_unruhige_vorphase_seitwaerts:11;mittlere_vorphase_fallend:4;mittlere_vorphase_seitwaerts:3;mittlere_vorphase_steigend:2,sicht_zerfaellt_hoch_schwingend_laut:40;sicht_stabil_hoch_schwingend_laut:19;sicht_wechselt_hoch_schwingend_laut:2;sicht_zerfaellt_wechselnd_mittel:1;sicht_stabil_wechselnd_mittel:1,spannungsnahe_oeffnung:42;offene_rekopplung:19;getragen_offen:2,1.7595560252320064,23.3015873015873,0.37012312698412697,0.28665446031746034,0.5816180793650794
lb48,rekopplung_oeffnet,long_btc_sol,SOL,49,enge_unruhige_vorphase_steigend,0.30612244897959184,sicht_zerfaellt_hoch_schwingend_laut,0.5714285714285714,spannungsnahe_oeffnung,0.7142857142857143,enge_unruhige_vorphase_fallend | sicht_zerfaellt_hoch_schwingend_laut | spannungsnahe_oeffnung,0.14285714285714285,dio_mcm_episode_16bqw8k:33;dio_mcm_episode_0xg0gjh:16,enge_unruhige_vorphase_steigend:15;enge_unruhige_vorphase_fallend:14;weite_unruhige_vorphase_fallend:7;enge_unruhige_vorphase_seitwaerts:4;weite_unruhige_vorphase_steigend:3;mittlere_vorphase_fallend:3,sicht_zerfaellt_hoch_schwingend_laut:28;sicht_stabil_hoch_schwingend_laut:18;sicht_zerfaellt_wechselnd_mittel:2;sicht_zerfaellt_hell_getragen_laut:1,spannungsnahe_oeffnung:35;offene_rekopplung:13;getragen_offen:1,3.0851617817772463,23.714285714285715,0.3702297551020408,0.28454495918367345,0.5812915510204082
lb48,rekopplung_oeffnet,multiasset,DOGE,26,weite_unruhige_vorphase_fallend,0.2692307692307692,sicht_zerfaellt_hoch_schwingend_laut,0.5,spannungsnahe_oeffnung,0.7692307692307693,weite_unruhige_vorphase_steigend | sicht_stabil_hoch_schwingend_laut | spannungsnahe_oeffnung,0.15384615384615385,dio_mcm_episode_16bqw8k:15;dio_mcm_episode_0xg0gjh:11,weite_unruhige_vorphase_fallend:7;weite_unruhige_vorphase_steigend:5;enge_unruhige_vorphase_fallend:5;enge_unruhige_vorphase_steigend:4;enge_unruhige_vorphase_seitwaerts:3;weite_gerichtete_vorphase_fallend:2,sicht_zerfaellt_hoch_schwingend_laut:13;sicht_stabil_hoch_schwingend_laut:10;sicht_stabil_wechselnd_mittel:1;sicht_stabil_hell_getragen_laut:1;sicht_wechselt_hoch_schwingend_laut:1,spannungsnahe_oeffnung:20;offene_rekopplung:4;offener_feldkontakt:1;getragen_offen:1,4.074158847379182,24.53846153846154,0.37051746153846155,0.28694165384615383,0.5822491538461538
lb48,rekopplung_oeffnet,multiasset,PAXG,19,mittlere_vorphase_seitwaerts,0.2631578947368421,sicht_zerfaellt_hoch_schwingend_laut,0.8421052631578947,spannungsnahe_oeffnung,0.6842105263157895,mittlere_vorphase_seitwaerts | sicht_zerfaellt_hoch_schwingend_laut | spannungsnahe_oeffnung,0.15789473684210525,dio_mcm_episode_16bqw8k:11;dio_mcm_episode_0xg0gjh:8,mittlere_vorphase_seitwaerts:5;mittlere_vorphase_fallend:4;mittlere_vorphase_steigend:3;feine_ruhevorphase_seitwaerts:2;enge_unruhige_vorphase_steigend:2;feine_ruhevorphase_steigend:1,sicht_zerfaellt_hoch_schwingend_laut:16;sicht_stabil_hoch_schwingend_laut:2;sicht_wechselt_hoch_schwingend_laut:1,spannungsnahe_oeffnung:13;offene_rekopplung:5;offener_feldkontakt:1,0.5395344535695566,14.894736842105264,0.3641561578947369,0.2852745263157895,0.5820233157894737
